일자	언론사	제목	본문
20211014	서울경제	억대 사이닝 보너스까지 하반기에도 IT기업 채용 열기 ‘후끈’	"정보기술(IT) 기업들이 상반기에 이어 하반기에도 대규모 채용 기조를 이어간다. 성장세가 가파른 스타트업들은 경력 개발자를 뽑으면서 억 단위에 달하는 사이닝보너스와 주식매수선택권(스톡옵션) 등 파격적인 조건을 내걸며 인재 모시기에 열중하고 있다. 
 

 올해 초 개발자들에 대한 대대적 처우 개선에 앞장섰던 게임 기업들은 하반기에도 적극적인 채용 행보를.."
20211014	국민일보	게임 관련 분쟁 꾸준히 증가세	"코로나19 여파로 온라인 콘텐츠 소비가 급증한만큼 분쟁 사레도 꾸준히 증가세인 것으로 나타났다. 
 
국회 문화체육관광위원회 소속 이상헌 더불어민주당 의원이 콘텐츠분쟁조정위원회로부터 제출받은 ‘콘텐츠분쟁조정위원회 조정 현황 통계’에 따르면 올해 8월까지 접수된 콘텐츠 분쟁 조정은 1만 475건으로 나타났다. 이는 지난해 동기 대비 대비 802건 증가한 .."
20211014	국민일보	"넥슨, 신작 플랫폼 ‘프로젝트 MOD’ 베일 벗는다"	"넥슨이 개발 중인 새 개념의 게임 플랫폼 ‘프로젝트 MOD’가 공모전을 통해 출시 예열에 들어간다. 
 
넥슨은 자사가 개발 중인 신작 플랫폼 ‘프로젝트 MOD’에서 콘텐츠 제작 공모전 ‘Creators Invitational 2021(CI 2021)’을 개최한다고 12일 밝혔다. 
 
최근 주목받고 있는 ‘메타버스’ 분류 게임이다. ‘프로젝트 MOD’.."
20211014	머니투데이	'과금 유도'로 인심 잃은 3N 카겜 크래프톤 기세 감당할 수 있나	"[머니투데이 이진욱 기자] [카겜 크래프톤 존재감 커지며 지각변동 신작 흥행에 사업 확장하며 신흥강자로 우뚝]

 3N(넥슨 엔씨소프트 넷마블)으로 대표되던 국내 게임업계에 2K(카카오게임즈 크래프톤)의 존재감이 커지며 지각변동이 일어나는 모양새다. 3N이 올해 각종 이슈에 휘말리며 주춤하는 사이 2K는 코스닥 입성 이후 적극적으로 사업을 확장하며 대형.."
20211014	머니투데이	[부꾸미]테슬라 스타벅스는 왜 디지털 자산에 투자할까	"[머니투데이 김사무엘 기자, 방진주 PD] [정구태 카르도 이사-디지털 자산의 미래②]


비트코인을 비롯한 디지털 자산이 사회의 큰 흐름으로 자리잡으면서 새로운 미래 먹거리로 관심을 두는 기업들도 늘어난다. 단순히 투자 대상으로서뿐만 아니라 디지털 자산의 기반이 되는 블록체인 기술을 활용한 새로운 사업 기회를 엿보고 있는 것이다.

가상자산 커스터디(.."
20211014	파이낸셜뉴스	구글 갑질방지법 한달 토종 앱마켓 게임 3N 뭉쳤다	"과기부, 모바일앱 생태계 간담회 
넥슨 넷마블 엔씨소프트 신작 
원스토어 입점확대 등 '상생협약' 

 

 
넥슨, 넷마블, 엔씨소프트 등 이른바 게임사 3N이 국내 앱마켓을 통한 게임 출시 비중을 늘려갈 예정이다. 국내 모바일 앱 생태계 발전을 위한 결정이지만, 게임사 자율에 맡겨야 할 사안을 강제한다는 비판도 나온다.
 

 
과학기술정보통신부는 .."
20211013	서울경제	“차별 없이 입점한다” 게임 업계 ‘3N’ 토종 앱마켓 살리기 앞장선다	"국내 앱 마켓과 넥슨 엔씨소프트(036570) 넷마블(251270) 등 게임업계 '3N'이 국내 앱 마켓 살리기에 앞장선다. 
 

 과학기술정보통신부는 13일 임혜숙 장관 주재로 간담회를 열고 해당 기업들이 이런 내용의 '국내 앱 마켓 활성화를 위한 상생 협약'을 체결했다고 밝혔다. 
 

 이날 간담회는 '인앱결제 강제 방지법'인 개정 전기통신사업법.."
20211013	매일경제	구글 인앱결제 버티자 정부 '토종 앱마켓' 이용 독려	"법을 준수하지 않고 아직까지 인앱결제 틀을 유지하고 있는 구글과 애플에 대해 정부가 압박에 나섰다. 원스토어를 비롯한 국내 앱마켓을 많이 쓰도록 독려하는 방식을 통해서다. 자사 결제수단을 강제하는 '인앱결제'는 지난 9월부터 법적으로 금지된 상태다.
13일 과학기술정보통신부는 임혜숙 장관 주재로 '국내 모바일 앱 생태계 발전 방안' 간담회를 개최했다. .."
20211013	아시아경제	[종합]'인앱결제법' 시행 한 달 토종 앱마켓에 '3N' 입점 길 열렸다	"[아시아경제 구은모 기자] 세계 최초로 인앱결제 강제를 금지하는 이른바 ‘구글 갑질 방지법’이 시행된지 한 달이 지난 가운데 정부와 국내 대표 모바일 콘텐츠 기업들이 모바일 애플리케이션(앱) 생태계 내 공정경쟁과 동반성장 환경을 조성하기 위해 뜻을 모았다. 
 
구글 애플 등 국외 앱 마켓에 주요 콘텐츠들이 편중된 가운데 국내 앱 마켓의 입점을 지원하는.."
20211013	전자신문	국내 모바일 앱 생태계 활성화를 위한 상생협약식	"국내 모바일 앱 생태계 활성화를 위한 상생협약식이 13일 서울 여의도 루나미엘레 컨벤션홀에서 열렸다. 참석자들이 상생협약 체결 후 기념촬영을 하고 있다. 왼쪽부터 정대준 티빙 국장, 이원태 한국인터넷진흥원장, 김성철 넷마블 상무, 안용균 엔씨소프트 상무, 김정욱 넥슨 부사장, 이제욱 멜론 대표, 한준호 더불어민주당 의원, 이원욱 국회 과학기술정보방송통신.."
20211013	아시아경제	이재환 원스토어 대표 “넥슨 '블루아카이브' 원스토어 입점한다”	"[아시아경제 구은모 기자] “넥슨의 ‘블루아카이브’가 다음 달 원스토어에 오픈합니다.” 
 
이재환 원스토어 대표는 13일 오전 서울 여의도에서 열린 국내 모바일 앱 생태계의 발전 방안 마련을 위한 간담회를 마치고 기자들과 만난 자리에서 이 같이 말했다. 
 
이 대표는 “게임사들이 상생협약 취지에 공감하고, 국내 앱 마켓이 활성화되고 커져야 해외 플랫.."
20211013	전자신문	"국내 콘텐츠기업-앱마켓, 첫 상생협약 체결"	"국내 앱마켓과 모바일 콘텐츠기업이 국내 앱마켓 활성화를 위한 상생협약을 체결했다. 국내 게임, 동영상서비스, 음악 스트리밍 업체가 모두 참여해 체결한 최초의 협약이다.

과학기술정보통신부는 13일 서울 여의도 루나미엘레 컨벤션홀에서 모바일 일 앱 생태계 건전 발전 방안을 마련하기 위한 간담회와 협약식을 개최했다.

행사에는 국내 앱마켓 원스토어, 갤럭시.."
20211013	경향신문	‘구글 갑질 방지법’ 시행 한 달  토종 앱마켓 3N OTT 맞손	"국내 앱 마켓과 넥슨 엔씨소프트 넷마블 등 게임업계 ‘3N’, 국내 온라인 동영상 서비스(OTT) 기업들이 모바일 앱 생태계 내 공정경쟁과 동반성장 환경을 마련하기 위해 상생 협약을 맺었다. 

과학기술정보통신부는 13일 임혜숙 장관 주재로 열린 간담회에서 해당 기업들이 이 같은 내용을 담은 ‘국내 앱 마켓 활성화를 위한 상생 협약’을 체결했다고 밝혔다.."
20211013	디지털타임스	"""토종 앱마켓 살리자"" 게임 음악 영상 콘텐츠기업 의기투합"	"넥슨 넷마블 엔씨소프트 등 국내 대표 게임 3사를 비롯한 콘텐츠 기업들이 국내 앱 마켓 생태계 활성화를 위해 힘을 모은다.



원스토어 갤럭시스토어 등 국내 앱 마켓 2개사와 넥슨 넷마블 엔씨소프트 등 게임 콘텐츠 기업은 '국내 앱마켓 활성화를 위한 상생협약'을 체결했다고 13일 밝혔다. 이번 상생협약은 국내뿐만 아니라 글로벌 모바일 콘텐츠 시장을 대.."
20211013	아주경제	"넥슨 넷마블 엔씨 신작 게임, 원스토어에도 입점한다"	"[사진=게티이미지뱅크 제공] 
? 
 
 넥슨과 넷마블, 엔씨소프트의 신작 모바일게임을 원스토어, 갤럭시스토어 등 토종 앱마켓에서도 내려받을 수 있게 된다. 지난 수년간 구글과 애플 앱마켓 대비 국내 앱마켓에 입점하는 게임의 수가 턱없이 부족해, 국내 게임사들이 토종 앱마켓을 패싱한다는 지적이 제기돼왔다.? 
 
넥슨과 넷마블, 엔씨소프트는 13일 국내.."
20211013	헤럴드경제	“원스토어에선 왜 리니지M 오딘 못 하나” 국내 앱마켓 활성화 모색	"[헤럴드경제=유동현 기자] 인기 모바일게임 ‘리니지M’, ‘오딘’, ‘제2의나라’를 토종 앱마켓 원스토어 등에서 사용할 수 없는 가운데, 이를 해결하기 위한 방안이 추진된다. 
 
 넥슨, 엔씨소프트, 넷마블 등 주요 게임사가 출시한 모바일 게임 53종 중 국내 앱마켓 입점은 7종에 불과해 토종 앱마켓 활성화가 주 목적이다. 이에 국내 게임 3사를 비롯.."
20211013	머니투데이	"""3N, 토종 앱마켓에도 게임 출시"" 콘텐츠사 앱마켓 협약"	"[머니투데이 변휘 기자] 국내 대표 게임사인 3N(엔씨소프트 넥슨 넷마블)이 토종 앱마켓에도 차별 없이 게임을 출시하기로 약속했다. 구글 애플의 인앱결제 강제를 금지하는 법 시행과 더불어 국내 앱 마켓의 활성화가 필요한 만큼 주요 콘텐츠 제공자들의 협력이 필요하다는 취지다.

과학기술정보통신부는 13일 오전 서울 여의도 루나미엘레 컨벤션홀에서 국내 앱마.."
20211013	아시아경제	‘3N’ 토종 앱마켓 지원 나섰다	"[아시아경제 구은모 기자] 정부와 국내 대표 모바일 콘텐츠 기업들이 국내 애플리케이션(앱) 마켓의 입점을 지원하는 내용을 골자로 모바일 앱 생태계 내 공정경쟁과 동반성장 환경을 조성하기 위해 힘을 모은다. 구글 애플 등 국외 앱 마켓에 편중된 넥슨 넷마블 엔씨소프트 등 ‘3N’ 게임업체들의 국내 앱 마켓 입점 확대의 발판이 마련될 것으로 보인다. 
 
.."
20211013	문화일보	"지스타 2021, 2년 만에 오프라인 개최 11월 17일부터"	"메인 스폰서 카카오게임즈 3N은 불참



코로나19로 인해 지난해 온라인으로만 진행됐던 국제게임전시회 지스타가 올해 온 오프라인 동시 행사로 진행된다. 메인 스폰서는 ‘오딘:발할라 라이징’으로 모바일 게임 시장에서 엔씨소프트의 리니지 양강 구도를 깨뜨린 카카오게임즈가 맡는다.

 

지스타조직위원회는 다음 달 17일 부산 벡스코에서 개막하는 국제게임전.."
20211013	조선일보	넥슨의 ‘존버’ 통했다... 비트코인 460억 손해봤다 70억 수익	"지난 4월 말 비트코인을 1130억원에 사들여 한때 460억원에 달하는 손해를 봤던 넥슨이 원금 회복을 넘어 수익을 내고 있다. 
 
국내 암호화폐 거래소 업비트에서 비트코인은 13일 오전 8시 기준 개당 6978만원에 거래되고 있다. 비트코인 가격은 지난 9월 29일 4900만원 선까지 떨어졌다가 매수세가 붙으면서 오름세를 보이고 있다. 이달 들어 제.."
20211012	디지털타임스	[THE GAME] 주고객 MZ세대 공략 나선 게임사들... 식품 유통과 `이색 콜라보`로 유혹	"국내 게임사들이 유명 식품 유통 업계와의 협업에 힘을 쏟고 있다. 타 업종과의 협업으로 브랜드 인지도를 높이는 한편 게임을 즐기는 유저들에게는 색다른 재미까지 선사할 수 있다는 판단이 작용한 것으로 풀이된다.



13일 게임업계에 따르면 데브시스터즈, 넥슨, 스마일게이트 RPG, 펄어비스 등 국내 게임사들이 식품 유통 업계와 이색 협업 마케팅을 진행하.."
20211012	대전일보	대전 공공어린이재활병원 내년 12월 개원 市 직접운영 여부 최대 관심사	"대전에 전국 최초로 건립되는 공공어린이재활병원 개원이 점차 가시화 되면서 대전시가 운영 방식 등을 담은 기본 운영 계획 마련에 속도를 내고 있다. 공공어린이재활병원의 정상적인 운영을 위해서는 이를 뒷받침 하는 조례 제정과 함께 인력 운용 등에 대한 부분을 결론지어야 하기 때문이다. 
12일 대전시에 따르면 대전 서구 관저동 일원에 건립되는 공공어린이재활.."
20211012	전자신문	'2년 만에 오프라인' 지스타 메인스폰서 카카오게임즈	"지스타조직위원회는 다음달 17일 부산 벡스코에서 개막하는 국제게임전시회 '지스타 2021' 참가신청 접수를 마감하고 총 1221부스를 운영키로 했다고 12일 밝혔다.

조직위는 2년 만에 오프라인 전시를 재개하기로 했지만 신종 코로나바이러스 감염증(코로나19) 재확산의 영향으로 부스와 참가사 수가 예년보다 약 50% 감소했다고 설명했다.

메인 스폰서로.."
20211012	매일경제	"돌아온 지스타, 메인스폰서는 카카오게임즈"	"신종 코로나바이러스 감염증(코로나19) 영향으로 중단됐던 국내 최대 규모의 게임전시회 '지스타'가 오프라인 전시를 재개하기로 했다.
지스타조직위원회(위원장 강신철)는 12일 '지스타 2021'의 참가 접수 결과와 함께 메인스폰서, 확정된 주요 프로그램을 알렸다. 내달 17일 부산 벡스코에서 열리는 '지스타 2021'에는 B2C관 908부스, B2B관 3.."
20211012	서울경제	"후원사 찾아 헤맨 지스타, 카카오게임즈가 등판 3N은 최초 동시 불참"	"‘오딘:발할라 라이징’으로 대박을 친 카카오게임즈(293490)가 국제게임전시회 ‘2021 지스타’ 메인 스폰서를 맡는다. 올해는 코로나 19로 인해 중단됐던 오프라인 전시가 재개되지만 3N으로 불리는 국내 대표 게임사 넥슨, 엔씨소프트(036570), 넷마블(251270)이 지스타 개최 이래 처음으로 불참한다. 
 

 지스타조직위원회는 12일 지스타.."
20211012	서울경제	中역사왜곡 규제에 엔터 게임업계 '몸살'...기술 정보유출 우려도	올해 초 역사 왜곡 논란으로 폐지된 드라마 ‘조선구마사’ 사태는 우리 사회에 중국 자본이 얼마나 넓고 깊게 침투했는지 돌아보는 계기가 됐다. 제작진 측은 “100% 국내 자본으로 만들었다”고 해명했지만 제작사 YG스튜디오플렉스의 모회사인 YG엔터테인먼트에 텐센트 상하이펑잉 등 중국 자본이 투입됐다. 또 드라마를 쓴 박계옥 작가는 한중 합작 제작사와 계약..
20211012	아시아경제	'지스타 2021' 내달 17일 개막 메인스폰서 카카오게임즈	"[아시아경제 부애리 기자] 지난해 코로나19 영향으로 온라인으로 전 세계 팬들을 만났던 게임전시회 '지스타'가 올해는 오프라인 전시를 재개한다. 
 
지스타조직위원회는 오는 17일부터 21일까지 부산 벡스코(BEXCO)에서 열리는 지스타의 주요 프로그램을 12일 공개했다. 올해 메인스폰서는 카카오게임즈다. 
 
올해 지스타는 총 1221부스 규모다. 카.."
20211012	디지털타임스	"넥슨, `프로젝트 MOD` 콘텐츠 제작 공모전 개최"	"""상상이 현실이 되는 플랫폼 '프로젝트 MOD'의 첫 번째 크리에이터에 도전해보세요!""



넥슨이 개발 중인 신작 플랫폼 프로젝트 MOD에서 콘텐츠 제작 공모전 'Creators Invitational 2021(CI 2021)'을 개최한다고 12일 밝혔다.



메타버스 영역에 도전하는 프로젝트 MOD는 누구나 자유롭게 콘텐츠를 제작하고 공유할 수 있.."
20211012	머니투데이	"3N 빠진 지스타 카카오게임즈, 메인스폰서 나선다"	"[머니투데이 이진욱 기자] [카카오게임즈 크래프톤 그라비티 시프트업 등 참가]

 국제게임전시회 '지스타 2021'이 올해 오프라인 전시를 재개한다. 게임 빅3로 불리는 넥슨, 넷마블, 엔씨소프트가 불참하는 대신 카카오게임즈가 메인스폰서로 참석한다.

지스타조직위원회는 지스타 2021'의 참가 접수 결과와 함께 메인 스폰서, 확정된 주요 프로그램을 12.."
20211012	아주경제	국내 최대 게임전시회 ‘지스타’에 3N 불참... 흥행 빨간불	"[사진=지스타 2021 로고] 
 
 내달 17일 개막하는 국내 최대 게임 전시회 ‘지스타 2021’에 게임업계 최대 기업이자?3N으로 불리는 넥슨과 넷마블, 엔씨소프트가 모두 불참한다. 세 회사가 동시에 불참하는 건 지스타 개막 이래 처음이다. 코로나19 장기화로 오프라인 전시의 효과, 영향력이 크게 줄었기 때문으로?풀이된다. 3N의 빈자리는 2K로 .."
20211012	아시아경제	카카오게임즈 '오딘' 3개월 연속 매출 1위	"[아시아경제 부애리 기자] 카카오게임즈의 '오딘:발할라 라이징'이 3개월 연속으로 국내 모바일 게임 매출 1위를 기록했다. 
 
12일 모바일인덱스에 따르면 '오딘'은 구글 플레이스토어와 애플 앱스토어 모두 1위를 차지하며 3개월째 통합 1위를 달성했다. 
 
엔씨소프트의 '리니지M'과 '리니지2M'은 각각 2 3위를 기록했다. 
 
엔씨의 신작 '블레.."
20211012	아주경제	'K게임 위기' 지적에... 장르 다변화로 돌파구 찾는 게임업계	"[사진=게티이미지뱅크 제공] 
 
 최근 국회 문화체육관광위원회 문화체육관광부 국정감사 현장. 이상헌 더불어민주당 의원실 관계자가 해외 게임사가 개발한 가상현실(VR) 게임을 시연했다. 미국 게임사 밸브(Valve)의 VR 1인칭 슈팅게임 ‘하프라이프: 알릭스’다. VR 기기를 통해 가상 공간에서 물건을 짚고 던지는 모습이 사실적으로 구현돼 눈길을 끌었.."
20211012	한국경제	카카오게임즈 '오딘' 천하 3개월 연속 구글 애플 앱마켓 1위	"카카오게임즈의 모바일 게임 '오딘: 발할라 라이징'이 3개월째 양대 앱장터 랭킹 1위(매출 기준)로 흥행을 이어가고 있다. 
 
12일 아이지에이웍스의 빅데이트 분석 솔루션 모바일인덱스에 따르면 지난달 오딘이 게임 랭킹 1위, 리니지M 2위, 리니지2M 3위로 집계됐다. 4위는 지난 8월26일 출시한 엔씨소프트의 '블레이드&소울2'(블소2), 5위는 중.."
20211012	아주경제	[단독] 30년 무노조 무너진 포스코ICT... 1노조 이어 2노조도 설립	"정덕균 포스코ICT 대표 [사진=포스코ICT 제공] 
 
 ? 그동안 무노조 경영을 이어왔던 포스코의 IT 엔지니어링 계열사 포스코ICT가 최근 사내에 2개 노조가 잇따라 설립되면서?홍역을 치르고 있다. 두 노조가 모두 신 인사제도 폐지를 공약으로 내세우며 조합원을 확대하고 있는 만큼 정덕균 포스코ICT 대표가 취임 이후 야심 차게 추진한 신 인사제도는.."
20211012	파이낸셜뉴스	"재혼황후 여신강림 웹툰 주인공, 메타버스에서도 인기몰이"	"제페토에 출시된 재혼황후 아이템, 두달 만에 40만개 이상 판매 기록 
""팬덤 기반한 웹툰 IP 마케팅 효과"" 
게임업계도 메타버스 진출 박차 

 

 

 
 
 
 
 
 
 네이버웹툰 흥행작 '재혼황후' 주인공을 활용한 제페토 아이템. 네이버 제공 
 
 
 
 
 
 
 
 
 
 웹툰과 게임 등 슈퍼 지식재산권(IP)이 메타버스(3차원 소셜미.."
20211011	디지털타임스	"3N 울고, 신흥강자 웃고 게임 3분기 성적표 희비"	"지난해까지만 해도 '코로나 수혜주'로 주목을 받았던 국내 대형 게임사 3N(엔씨소프트 넥슨 넷마블)의 실적에 먹구름이 걷히지 않고 있다. 당장 지난 2분기에 이어 3분기에도 부진한 실적을 기록할 전망이다. 비대면 수혜를 톡톡히 누렸던 지난해와 달리 올 초부터 이어진 확률형 아이템 소통 부재 논란에 더해 중국발 리스크, 인건비 부담 등이 악재로 작용했다는.."
20211011	아시아경제	"비트코인 1억달러치 매수한 넥슨, '본전' 눈앞"	"[아시아경제 강나훔 기자] 비트코인 투자로 한 때 40%의 평가손실을 봤던 넥슨이 원금 회복을 눈앞에 두고 있다. 최근 가상화폐 가격이 상승기류를 타면서다. 
 
11일 국내 가상화폐 거래소 업비트에 따르면 이날 오후 5시50분 기준 비트코인은 전일 대비 1.9% 상승한 6909만원을 기록 중이다. 지난 8일 이후 계속 상승세다. 
 
상승세와 함께 비.."
20211011	전자신문	ICT 근로감독에 게임업계 긴장 “업종 특성 고려돼야”	"정부가 이달 300인 이상 정보통신기술(ICT) 기업 근로감독을 예고하면서 게임업계가 대응책 마련에 고심이다. 최근 대표 ICT 기업 근로환경 문제가 수면 위로 드러나면서 '본보기' 사례가 될 수 있다는 우려가 인다. 게임업계는 근로환경 개선에는 동의하지만 일률적인 기준 적용을 고집하기보다는 업종 특수성에 대한 이해가 선행돼야 한다고 입을 모은다.

1.."
20211011	서울신문	J 사로잡기 K게임은 ‘트럭’에 오른다	"일본 시장은 한국 게임 업체들에게 쓰라린 기억이 많은 곳이다. 굴지의 국내 게임사들이 수차례 도전했음에도 현지에서 장기 흥행을 한 사례를 찾기 힘들다. 그럼에도 일본 시장 진출은 여전히 계속되고 있다.
넥슨의 ‘카운터사이드’, 넷마블의 ‘제2의나라’, 엔씨소프트의 ‘리니지W’, 데브시스터즈의 ‘쿠키런: 킹덤’, 엔픽셀의 ‘그랑사가’ 등이 올해 이미 일본.."
20211010	한국경제	삼성도 노조 있는데 스벅 직원들은 왜 민노총에 선그었나	"과다한 업무에 불만을 표하며 지난 7~8일 창립 22년 만에 처음으로 초유의 ‘트럭 시위’에 나섰던 스타벅스커피코리아 매장 파트너(직원)들이 노동조합 결성을 지원하겠다는 전국민주노동조합총연맹과 선을 그었다. 
 
업계에 따르면 트럭 시위 주최측은 앞선 5일 민주노총이 ‘스타벅스 노동자에겐 노동조합이 필요하다’ 제목의 논평을 내자 직장인 익명 어플리케이션.."
20211010	서울신문	“이번엔 세계3위 시장 잡을까” 현지화 앞세워 일본에 도전하는 K-게임	"일본 시장은 한국 게임 업체들에게 쓰라린 기억이 많은 곳이다. 굴지의 국내 게임사들이 수차례 도전했음에도 현지에서 장기 흥행을 한 사례를 찾기 힘들다. 그럼에도 일본 시장 진출은 여전히 계속되고 있다. 넥슨의 ‘카운터사이드’, 넷마블의 ‘제2의나라’, 엔씨소프트의 ‘리니지W’, 데브시스터즈의 ‘쿠키런: 킹덤’, 엔픽셀의 ‘그랑사가‘ 등이 올해 이미 일본.."
20211009	아시아경제	계속되는 악재 잘나가던 3N '먹구름'[부애리의 게임사전]	"[아시아경제 부애리 기자] 지난해 승승장구하던 국내 대형 게임사 3N(엔씨소프트 넥슨 넷마블)에게 악재만 몰아치고 있다. 확률형아이템 논란, 부진한 신작 성과에 엔씨는 한 달 사이 시가총액이 5조원 이상 증발했다. 중국 게임 시장에서 큰 수익을 얻고 있는 넥슨에게는 중국발 리스크가 드리웠다. 3N의 실적 전망도 2분기에 이어 3분기에도 밝지만은 않다. .."
20211008	아시아경제	[비트코인 지금] 6500만원대에서 횡보 JP모건 “기관투자자가 상승세 이끌어”	"[아시아경제 공병선 기자] 대표 가상화폐(암호화폐) 비트코인이 6500만원대에 머물고 있다. 미국 투자은행 JP모건은 기관투자자가 최근 비트코인 상승세를 이끌었다고 분석했다. 
 
국내 가상화폐 거래소 업비트에 따르면 8일 오후 3시20분 기준 비트코인은 전일 대비 0.44% 상승한 6579만원을 기록했다. 전날 6729만원까지 올랐지만 이후 주춤하고 .."
20211008	아시아경제	가상화폐 거래소에 꽂힌 게임사들	"[아시아경제 강나훔 기자] 개정된 특정금융거래정보법의 시행으로 가상화폐 거래소 시장이 사실상 4대 대형 거래소 위주로 재편되면서 이들 거래소를 향한 게임사들의 지분 투자도 본격화 되고 있다. 게임사들은 가상화폐 거래소가 게임 산업과 가상화폐 산업을 연계해주는 허브 역할을 할 것으로 기대하고 있다. 
 
◆4대 거래소 중 3곳이 게임사가 대주주= 8일 관.."
